username, created_at, lng, lat, text
Jazzymariexo, Fri Apr 24 02:00:40 +0000 2020, -79.189872, 45.047623, Hello beautiful😭😍
WoelAJilliams, Fri Apr 24 02:00:40 +0000 2020, -73.968542, 40.780709, @mharakal And the podcast microphone!!!
joshjelonek, Fri Apr 24 02:00:41 +0000 2020, -78.661700, 42.918100, Drinking a LAX2JFK in the Clouds (2020) by @OtherHalfNYC/@monkishbrewing @ Bar Jelonek — https://t.co/ChDptnPzAl
Embrace_The_DJZ, Fri Apr 24 02:00:41 +0000 2020, -72.536101, 41.302372, Elway breathing a sigh of relief. Jeudy has to be here
BrettHaynie, Fri Apr 24 02:00:42 +0000 2020, -73.968542, 40.780709, Will and I are taking tonight for ourselves but he keeps wandering in to check on me 😂😭💕
GooseyMane, Fri Apr 24 02:00:42 +0000 2020, -73.968542, 40.780709, @no_lloydering I want that headache.
SohnsTed, Fri Apr 24 02:00:42 +0000 2020, -77.604684, 41.117936, @PinkBearSugar Certainly not a ninja.
DrewVanWagenen, Fri Apr 24 02:00:42 +0000 2020, -73.722672, 42.712015, For my fellow @audi fans... here’s how to spot from a distance a 2019-2020 #Audi #A6’s engine from a distance. The… https://t.co/DlzHXJVd42
richardmcgovern, Fri Apr 24 02:00:43 +0000 2020, -77.604684, 41.117936, You should be allowed to turn in your pick, and remove another teams pick as well.  Like the Eagles could choose no… https://t.co/x8Vy6VwslI
Dianephelan, Fri Apr 24 02:00:43 +0000 2020, -73.968542, 40.780709, Friends, Allies- can you do us a favor? There is a racist we need help with reporting: https://t.co/zdV5RHbV4O
90s_nathan, Fri Apr 24 02:00:44 +0000 2020, -79.272570, 43.629311, Who you got for me
debschleede, Fri Apr 24 02:00:45 +0000 2020, -75.770041, 42.746617, My Spotify Daily Mix just went from Backstreet Boys to Rammstein. NAILED IT.
dianamchard, Fri Apr 24 02:00:46 +0000 2020, -77.354506, 44.239795, @rocketfromthe https://t.co/uhte3XLq3Z
philbutta, Fri Apr 24 02:00:46 +0000 2020, -75.770041, 42.746617, @DesignationSix When America was great ... and soon we will be great again. A great rain will wash the streets clea… https://t.co/SVr4lKyS39
broncosvisualz, Fri Apr 24 02:00:47 +0000 2020, -79.565792, 43.837104, ELWAY PLEASE PICK A WR
karldpeterson, Fri Apr 24 02:00:48 +0000 2020, -78.423585, 41.023115, When are they going to add pool jumping to the combine? #NFLDraft2020
RootlessYouth, Fri Apr 24 02:00:48 +0000 2020, -73.968542, 40.780709, Doing zoom karaoke is a beautiful train wreck with my family
LamarMF, Fri Apr 24 02:00:49 +0000 2020, -73.831187, 40.670879, Woooooooooooooooooooooooooooowwwww
paulakalnina_, Fri Apr 24 02:00:49 +0000 2020, -79.272570, 43.629311, We do not inherit the Earth from our ancestors. We borrow it from our children 💙🌎
ricnun1819, Fri Apr 24 02:00:49 +0000 2020, -77.604684, 41.117936, https://t.co/bGS5lq3GvB
Danno2430, Fri Apr 24 02:00:50 +0000 2020, -73.948775, 40.655138, Javon Kinlaw’s couch looks so comfortable, thus he will be a good nfl player
TheJachim, Fri Apr 24 02:00:50 +0000 2020, -76.116489, 43.175639, @BenOffTV Oh I'd say that's totally worth it then.
WEST_side5, Fri Apr 24 02:00:50 +0000 2020, -77.604684, 41.117936, @CORR_slight NEEEEDDDDD HIM
JulioVa55694513, Fri Apr 24 02:00:51 +0000 2020, -73.831187, 40.670879, The ids is a monster
lilyroseee4, Fri Apr 24 02:00:51 +0000 2020, -77.604684, 41.117936, It is 10:00 pm and I am craving a chicken Cesar salad from Panera with a strawberry banana smoothie. What have I turned into?
SD_Washington, Fri Apr 24 02:00:51 +0000 2020, -73.705360, 40.725077, @49ers pick #javonkinlaw #NFLDraft
FeaturingPBJ, Fri Apr 24 02:00:51 +0000 2020, -73.749682, 40.677692, Told you so much about tweet
visitpama, Fri Apr 24 02:00:51 +0000 2020, -79.943748, 43.523123, Keep celebrating #WorldBookDay with this year's FREE, DIGITAL Festival of Literary Diversity Apr 30 to May 3… https://t.co/HNvfKyMgPP
VeniseBaxter, Fri Apr 24 02:00:52 +0000 2020, -74.267979, 40.736985, Wyatt and this old a** lady... this is gross. #Ozarks
Capn_Lynnsano, Fri Apr 24 02:00:52 +0000 2020, -77.604684, 41.117936, The 49ers will be the scariest team in the NFC for the next decade
RJ24Terp, Fri Apr 24 02:00:52 +0000 2020, -74.724323, 40.073041, WHAT THE FUCKING FUCKKKKK
MrCollymore, Fri Apr 24 02:00:53 +0000 2020, -73.948775, 40.655138, YOU PICKED KINLAW OVER LAMB AND JEUDY?!!!!!!! @49ers
0H__I0, Fri Apr 24 02:00:54 +0000 2020, -77.604684, 41.117936, @drinkwhiskey71 @ClayTravis Than
scho_nuff, Fri Apr 24 02:00:54 +0000 2020, -73.968542, 40.780709, @tessa_ryleigh Dammit!!..... Then!
jdoggny, Fri Apr 24 02:00:54 +0000 2020, -73.948775, 40.655138, @brianbeutler https://t.co/s3EXwN5fHw
JohnMontis, Fri Apr 24 02:00:55 +0000 2020, -77.562436, 40.635586, @GOPChairwoman @realDonaldTrump That’s liberals definition of inclusive
ant9179, Fri Apr 24 02:00:55 +0000 2020, -73.126209, 41.207828, @deityquis Lmao come on now that’s in my top 5, kenshin, berzerk, cowboy bebop even tho some deem it boring I rewat… https://t.co/LqcvArALQk
jtw_ngc98, Fri Apr 24 02:00:55 +0000 2020, -75.770041, 42.746617, A couple of years ago I found my notes from @us_sams oral comps prep (2008). They seem apropos this time each year.… https://t.co/B6WHnXZyfA
lapresmidi, Fri Apr 24 02:00:55 +0000 2020, -73.948775, 40.655138, @lizzieohreally https://t.co/vVozFEzKGU
GraceMonteleone, Fri Apr 24 02:00:55 +0000 2020, -74.286884, 41.040597, i gotta google dollar stores bc i fucked up my whole phone algorithm by searching Harry Winston rings. - @jackieee1821
ColoradoFoothil, Fri Apr 24 02:00:55 +0000 2020, -78.748399, 42.907207, @CNN A wolf in sheep’s clothing
